                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     61,                0.77431,                0.75995,                 1.1457,                0.84865,                0.86765,                0.91862,                 0.7751,                0.64127,                 0.6214,                 1.0615,              0.0005075,              0.0005075,              0.0005075
                     62,                0.77639,                0.77841,                 1.1697,                0.89857,                 0.8953,                0.95109,                0.80457,                0.64791,                0.61321,                 1.0792,             0.00049513,             0.00049513,             0.00049513
                     63,                0.72791,                  0.744,                 1.1141,                0.88883,                0.89017,                0.94672,                0.79837,                0.66639,                0.60212,                 1.0701,             0.00048275,             0.00048275,             0.00048275
                     64,                0.71884,                 0.7307,                  1.122,                 0.8735,                0.93311,                0.93751,                0.80115,                0.66956,                0.58844,                 1.0864,             0.00047038,             0.00047038,             0.00047038
                     65,                0.70271,                0.72378,                  1.106,                0.85171,                0.84671,                 0.9092,                 0.7787,                0.64675,                 0.6978,                 1.0705,               0.000458,               0.000458,               0.000458
                     66,                0.70123,                0.67936,                 1.1092,                0.88425,                0.86342,                0.91037,                0.77702,                0.64885,                0.64797,                 1.0831,             0.00044563,             0.00044563,             0.00044563
                     67,                0.70821,                 0.7374,                 1.1244,                0.84505,                0.88117,                0.92343,                0.77309,                0.66029,                0.60965,                 1.0595,             0.00043325,             0.00043325,             0.00043325
                     68,                0.69365,                0.69321,                 1.1051,                0.89887,                0.85973,                0.92075,                0.79217,                0.63636,                0.60844,                 1.0539,             0.00042087,             0.00042087,             0.00042087
                     69,                0.69666,                0.68273,                  1.108,                0.93829,                0.85856,                0.93928,                 0.8054,                0.61795,                0.53454,                 1.0561,              0.0004085,              0.0004085,              0.0004085
                     70,                0.67574,                0.64336,                 1.0974,                0.92617,                0.85886,                0.93967,                0.79873,                0.64113,                 0.5837,                 1.0454,             0.00039613,             0.00039613,             0.00039613
                     71,                0.69354,                0.66505,                 1.1067,                0.91827,                 0.9178,                0.96001,                0.81542,                0.59275,                 0.5402,                 1.0112,             0.00038375,             0.00038375,             0.00038375
                     72,                 0.6947,                0.66929,                 1.1182,                0.92038,                0.87359,                0.93831,                0.79359,                0.64781,                0.63043,                  1.054,             0.00037138,             0.00037138,             0.00037138
                     73,                0.68484,                0.67989,                 1.1074,                0.95084,                0.89609,                0.96122,                0.81877,                0.63076,                0.52819,                 1.0317,               0.000359,               0.000359,               0.000359
                     74,                0.66734,                0.63473,                 1.0873,                0.95454,                0.92471,                0.95948,                0.83777,                0.58676,                0.48821,                 1.0116,             0.00034663,             0.00034663,             0.00034663
                     75,                0.67119,                0.63406,                 1.0998,                0.96227,                0.88933,                0.95735,                0.83197,                0.57744,                 0.5199,                 1.0142,             0.00033425,             0.00033425,             0.00033425
                     76,                0.67652,                0.61787,                 1.0885,                0.93286,                0.93513,                0.97401,                0.83069,                 0.6083,                0.47949,                 1.0132,             0.00032188,             0.00032188,             0.00032188
                     77,                0.64122,                0.64729,                 1.0693,                0.93513,                0.90499,                0.97043,                0.82762,                0.59255,                0.49211,                 1.0207,              0.0003095,              0.0003095,              0.0003095
                     78,                0.65329,                0.61693,                 1.0824,                0.93587,                0.91025,                 0.9685,                0.84064,                0.58257,                0.48718,                 1.0065,             0.00029713,             0.00029713,             0.00029713
                     79,                0.63836,                0.60578,                 1.0845,                0.91726,                 0.9158,                0.96296,                0.83653,                0.58741,                0.51259,                 1.0052,             0.00028475,             0.00028475,             0.00028475
                     80,                0.63425,                0.59064,                 1.0818,                0.92583,                 0.8913,                0.94986,                0.82849,                0.57671,                0.56681,                0.99596,             0.00027237,             0.00027237,             0.00027237
                     81,                0.65413,                0.64108,                 1.0846,                0.93396,                0.88754,                0.96034,                0.83588,                0.56584,                0.51329,                0.99278,                0.00026,                0.00026,                0.00026
                     82,                0.64667,                0.60476,                 1.0936,                0.90597,                0.91011,                0.96403,                0.82994,                0.58633,                0.50107,                0.99868,             0.00024762,             0.00024762,             0.00024762
                     83,                0.62212,                 0.6044,                  1.055,                0.91419,                0.90576,                0.96804,                0.83897,                0.56525,                 0.4759,                0.98961,             0.00023525,             0.00023525,             0.00023525
                     84,                0.62022,                0.57567,                 1.0617,                 0.9279,                0.89741,                0.96531,                0.83417,                0.57696,                0.47427,                 0.9962,             0.00022288,             0.00022288,             0.00022288
                     85,                0.58921,                0.53653,                 1.0376,                0.93085,                0.83848,                0.94128,                0.81279,                 0.5826,                 0.5618,                 1.0063,              0.0002105,              0.0002105,              0.0002105
                     86,                0.62656,                0.58031,                 1.0749,                0.92859,                0.92701,                0.96172,                0.83715,                0.55878,                0.45066,                0.98646,             0.00019813,             0.00019813,             0.00019813
