                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     52,                0.74542,                0.69067,                 1.1164,                0.89097,                0.92468,                0.95047,                  0.793,                0.65761,                 0.6033,                 1.0573,             0.00061887,             0.00061887,             0.00061887
                     53,                0.74859,                0.73274,                 1.1315,                0.92135,                0.81517,                0.93227,                0.78354,                0.68749,                0.62454,                  1.066,              0.0006065,              0.0006065,              0.0006065
                     54,                0.74562,                0.69204,                 1.1338,                 0.9228,                0.86031,                0.93404,                0.76928,                0.71008,                0.56454,                 1.0962,             0.00059413,             0.00059413,             0.00059413
                     55,                0.71244,                0.65055,                 1.0942,                0.91659,                0.83063,                0.93989,                 0.7743,                0.68008,                0.63829,                 1.0766,             0.00058175,             0.00058175,             0.00058175
                     56,                0.71416,                0.66358,                 1.0954,                0.93433,                0.87596,                0.94159,                0.79743,                0.63924,                0.56503,                 1.0413,             0.00056938,             0.00056938,             0.00056938
                     57,                0.68857,                0.66092,                 1.1286,                 0.8953,                0.94533,                0.95714,                0.80502,                0.67521,                0.50466,                 1.0599,               0.000557,               0.000557,               0.000557
                     58,                0.70657,                0.67575,                 1.1184,                0.95862,                0.89015,                0.95179,                0.80587,                0.64281,                0.51877,                 1.0365,             0.00054463,             0.00054463,             0.00054463
                     59,                0.72468,                0.67228,                 1.1032,                0.84566,                0.90439,                0.93962,                0.78108,                0.64659,                0.56483,                 1.0336,             0.00053225,             0.00053225,             0.00053225
                     60,                0.69484,                0.64004,                  1.111,                0.93146,                0.88502,                 0.9464,                0.80504,                0.67407,                0.55674,                  1.073,             0.00051988,             0.00051988,             0.00051988
                     61,                0.70063,                0.63636,                 1.0957,                 0.9266,                0.89485,                0.95299,                0.82278,                0.61158,                0.52817,                 1.0095,              0.0005075,              0.0005075,              0.0005075
                     62,                0.72041,                0.66821,                 1.1193,                0.95758,                 0.8565,                0.94687,                0.81493,                0.62094,                0.53578,                 1.0335,             0.00049513,             0.00049513,             0.00049513
                     63,                  0.668,                0.62296,                 1.0762,                 0.8403,                0.93681,                0.94759,                0.81908,                0.63533,                0.56282,                 1.0367,             0.00048275,             0.00048275,             0.00048275
                     64,                0.67397,                  0.648,                 1.0922,                0.94517,                0.90043,                0.95267,                0.82062,                0.61078,                0.49938,                 1.0275,             0.00047038,             0.00047038,             0.00047038
                     65,                0.65978,                0.62806,                 1.0844,                0.96444,                0.89059,                 0.9506,                0.81463,                 0.6189,                0.50557,                 1.0188,               0.000458,               0.000458,               0.000458
                     66,                0.63789,                 0.5768,                 1.0733,                0.95553,                0.89231,                0.94852,                0.81579,                 0.6334,                0.48502,                 1.0386,             0.00044563,             0.00044563,             0.00044563
                     67,                0.65589,                0.62227,                 1.0898,                0.93155,                 0.9198,                0.96227,                0.81174,                0.64457,                  0.488,                 1.0428,             0.00043325,             0.00043325,             0.00043325
                     68,                0.64479,                0.60058,                 1.0706,                0.93306,                0.88686,                0.94946,                 0.8127,                0.63623,                 0.5444,                 1.0362,             0.00042087,             0.00042087,             0.00042087
                     69,                0.64183,                0.58152,                 1.0721,                 0.9581,                0.90293,                 0.9621,                0.84284,                0.58082,                0.51438,                 1.0036,              0.0004085,              0.0004085,              0.0004085
                     70,                0.61614,                0.54423,                 1.0658,                0.95577,                0.89754,                0.95161,                0.83271,                0.59656,                0.50998,                 1.0116,             0.00039613,             0.00039613,             0.00039613
                     71,                0.65188,                0.54283,                 1.0734,                0.95491,                0.89612,                0.95753,                0.82432,                0.60044,                0.53251,                 1.0222,             0.00038375,             0.00038375,             0.00038375
                     72,                0.65427,                0.58695,                 1.0888,                0.94929,                0.92429,                0.96657,                0.82728,                0.58587,                0.45801,                 1.0047,             0.00037138,             0.00037138,             0.00037138
                     73,                 0.6319,                 0.5793,                 1.0801,                0.94013,                0.92323,                0.97007,                0.83616,                0.59106,                0.44082,                 1.0042,               0.000359,               0.000359,               0.000359
                     74,                0.61179,                0.52629,                 1.0536,                0.96728,                0.89362,                0.95862,                0.83468,                0.57863,                0.46575,                 1.0029,             0.00034663,             0.00034663,             0.00034663
                     75,                0.60797,                0.53238,                 1.0603,                0.92979,                0.89576,                0.95323,                0.82141,                0.60121,                0.49538,                  1.019,             0.00033425,             0.00033425,             0.00033425
                     76,                0.61566,                0.52396,                 1.0565,                0.94725,                0.90456,                0.95677,                 0.8215,                0.60646,                0.48324,                 1.0278,             0.00032188,             0.00032188,             0.00032188
                     77,                0.59184,                0.54078,                 1.0459,                0.94333,                 0.9082,                0.96232,                0.83202,                0.57181,                0.49375,                0.99854,              0.0003095,              0.0003095,              0.0003095
                     78,                0.60109,                0.50768,                 1.0541,                0.95271,                  0.907,                0.96589,                 0.8287,                0.59333,                0.48449,                 1.0124,             0.00029713,             0.00029713,             0.00029713
                     79,                0.58746,                0.50004,                 1.0491,                0.94932,                0.91724,                0.96417,                0.82949,                0.59499,                  0.447,                 1.0087,             0.00028475,             0.00028475,             0.00028475
                     80,                0.59281,                0.50311,                 1.0591,                0.96538,                0.91393,                0.96665,                0.83974,                0.57995,                0.46718,                0.99185,             0.00027237,             0.00027237,             0.00027237
                     81,                0.59916,                0.53161,                 1.0508,                0.94686,                0.93875,                0.97202,                0.84493,                0.56232,                0.42937,                0.97818,                0.00026,                0.00026,                0.00026
                     82,                0.58592,                0.49018,                 1.0598,                0.97585,                0.92436,                0.97563,                 0.8442,                0.56464,                0.40536,                0.96484,             0.00024762,             0.00024762,             0.00024762
                     83,                0.56588,                0.49241,                 1.0279,                0.95615,                 0.9238,                0.97174,                0.84584,                0.55718,                 0.4206,                0.96271,             0.00023525,             0.00023525,             0.00023525
                     84,                0.57765,                0.48885,                 1.0351,                0.90813,                0.96793,                0.97128,                 0.8441,                0.55021,                 0.4252,                0.96784,             0.00022288,             0.00022288,             0.00022288
                     85,                0.54164,                0.45564,                 1.0121,                0.94759,                0.94964,                0.97512,                0.84661,                0.55036,                0.41696,                0.96955,              0.0002105,              0.0002105,              0.0002105
                     86,                0.56486,                0.49553,                 1.0377,                0.94709,                0.94507,                0.96778,                0.84848,                0.57359,                0.42254,                0.98632,             0.00019813,             0.00019813,             0.00019813
                     87,                0.58441,                0.48401,                 1.0495,                0.96828,                0.93394,                0.97611,                0.86023,                0.56212,                0.40095,                0.99021,             0.00018575,             0.00018575,             0.00018575
                     88,                0.55533,                0.46497,                 1.0326,                0.95609,                0.94751,                0.97748,                0.85257,                0.55324,                0.39994,                0.98456,             0.00017338,             0.00017338,             0.00017338
                     89,                0.55203,                0.46764,                 1.0332,                 0.9738,                0.92703,                0.96889,                0.86038,                0.56841,                0.42022,                0.99266,               0.000161,               0.000161,               0.000161
                     90,                0.53423,                0.46444,                 1.0138,                0.97352,                0.89943,                0.97268,                0.86008,                0.53982,                0.41422,                0.96862,             0.00014862,             0.00014862,             0.00014862
                     91,                0.42526,                0.34356,                0.94349,                0.96587,                0.90449,                0.96405,                0.84542,                0.53942,                0.42469,                0.95932,             0.00013625,             0.00013625,             0.00013625
                     92,                0.41298,                0.32909,                 0.9265,                0.94333,                0.92865,                0.95862,                0.84257,                0.57964,                0.46126,                0.99017,             0.00012387,             0.00012387,             0.00012387
                     93,                 0.3961,                0.29789,                0.92469,                0.97057,                0.92033,                0.96253,                0.83938,                 0.5698,                0.44149,                0.99122,              0.0001115,              0.0001115,              0.0001115
                     94,                0.38055,                 0.2866,                0.92477,                0.96149,                0.91998,                0.96464,                0.85091,                0.55192,                0.44392,                0.97767,             9.9125e-05,             9.9125e-05,             9.9125e-05
                     95,                0.39869,                0.28812,                0.93886,                0.95272,                0.93223,                0.96139,                0.84703,                0.55606,                0.44792,                0.98427,              8.675e-05,              8.675e-05,              8.675e-05
                     96,                0.37371,                0.28143,                0.91663,                0.97365,                0.93035,                0.96072,                0.85573,                0.54366,                0.43067,                 0.9766,             7.4375e-05,             7.4375e-05,             7.4375e-05
                     97,                0.37942,                0.27548,                0.91655,                0.97029,                0.93841,                0.96053,                0.85605,                0.53533,                0.42755,                0.96946,                6.2e-05,                6.2e-05,                6.2e-05
                     98,                0.36286,                0.27418,                0.91866,                0.96705,                0.93622,                0.96308,                0.86311,                0.53472,                  0.413,                0.96471,             4.9625e-05,             4.9625e-05,             4.9625e-05
                     99,                0.36425,                0.26521,                0.90929,                0.95812,                0.93415,                0.96278,                0.85737,                0.53402,                0.42424,                0.96344,              3.725e-05,              3.725e-05,              3.725e-05
                    100,                0.35222,                0.25856,                0.92177,                0.95445,                0.93707,                0.96302,                0.85757,                0.53536,                0.42969,                0.96584,             2.4875e-05,             2.4875e-05,             2.4875e-05
